id,displayBadges,highlight,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default
g1,Híbrido|Cobre|Enfriamiento,Enfriamiento con cobre para un sueño limpio y suave,La infusión de cobre NatuVerex disipa el calor,Espuma de memoria con cobre y espuma Hyper-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades","Sensación suave y acogedora para quienes duermen de lado",,,Espumas y resortes premium,"Enfriamiento con cobre e infusión de espumas especiales que aíslan el movimiento para un sueño limpio, fresco y suave"
g2,Híbrido|Cobre|Enfriamiento,Enfriamiento con cobre para un sueño limpio y suave,La infusión de cobre NatuVerex disipa el calor,Espuma de memoria con cobre y espuma Hyper-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades",,Sensación media perfecta para la mayoría,,Espumas y resortes premium,"Enfriamiento con cobre y espuma aislante de movimiento para un sueño limpio, fresco y suave"
g3,Híbrido|Cobre|Enfriamiento,Enfriamiento con cobre para un sueño limpio y suave,La infusión de cobre NatuVerex disipa el calor,Espuma de memoria con cobre y espuma Hyper-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades",,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,Espumas y resortes premium,"Enfriamiento con cobre y espuma aislante de movimiento para un sueño limpio, fresco y suave"
g4,Híbrido|Látex|Cosido a Mano,Híbrido de látex cosido a mano con garantía de por vida,Tecnología de cambio de fase — telas frescas al tacto que se ajustan a la temperatura,"Látex Talalay para una capa de confort natural, duradera y que alivia la presión. Transpirable, antimicrobiano e hipoalergénico",Los resortes encapsulados minimizan la perturbación de la pareja,UNIDAD DE RESORTES QUANTUM ENCAPSULADOS con 1575 resortes individuales de calibre 17,,Sensación media perfecta para la mayoría,,"Cosido a mano, garantía de por vida",Híbrido ultra premium cosido a mano con múltiples espumas especiales y garantía de por vida
g5,Híbrido|Cosido a Mano,Híbrido firme cosido a mano para soporte serio,Tecnología de cambio de fase — telas frescas al tacto que se ajustan a la temperatura,"Látex Talalay para una capa de confort natural, duradera y que alivia la presión. Transpirable, antimicrobiano e hipoalergénico",Los resortes encapsulados minimizan la perturbación de la pareja,UNIDAD DE RESORTES QUANTUM ENCAPSULADOS con 1575 resortes individuales de calibre 17,,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,"Cosido a mano, garantía de por vida",Híbrido ultra premium cosido a mano con múltiples espumas especiales y garantía de por vida
g6,Híbrido|Cosido a Mano,Suavidad tipo nube con construcción de lujo cosida a mano,Tecnología de cambio de fase — telas frescas al tacto que se ajustan a la temperatura,"Látex Talalay para una capa de confort natural, duradera y que alivia la presión. Transpirable, antimicrobiano e hipoalergénico",Los resortes encapsulados minimizan la perturbación de la pareja,UNIDAD DE RESORTES QUANTUM ENCAPSULADOS con 1575 resortes individuales de calibre 17,Sensación suave tipo nube para quienes duermen de lado,,,"Cosido a mano, garantía de por vida",Híbrido ultra premium cosido a mano con múltiples espumas especiales y garantía de por vida
g7,Híbrido|Látex|Soporte Lumbar,Funda de seda y lana con resortes de doble calibre para soporte lumbar,La funda fresca de seda y lana damasco ayuda a regular la temperatura,Capas completas de espuma Serene y espuma de memoria Cool-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar","Sensación suave y acogedora para quienes duermen de lado",,,Cosido a mano,"Funda fresca de seda y lana damasco cosida a mano, múltiples espumas especiales, resortes encapsulados individualmente"
g8,Híbrido|Látex|Soporte Lumbar,Funda de seda y lana con resortes de doble calibre para soporte lumbar,La funda fresca de seda y lana damasco ayuda a regular la temperatura,Capas completas de espuma Serene y espuma de memoria Cool-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar",,Sensación media perfecta para la mayoría,,Cosido a mano,"Funda fresca de seda y lana damasco cosida a mano, múltiples espumas especiales, resortes encapsulados individualmente"
g9,Híbrido|Látex|Soporte Lumbar,Funda de seda y lana con resortes de doble calibre para soporte lumbar,La funda fresca de seda y lana damasco ayuda a regular la temperatura,Capas completas de espuma Serene y espuma de memoria Cool-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar",,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,Cosido a mano,"Funda fresca de seda y lana damasco cosida a mano, múltiples espumas especiales, resortes encapsulados individualmente"
g10,Híbrido|Enfriamiento|Soporte Lumbar,Espuma de enfriamiento multicapa con soporte lumbar zonificado,Funda de cambio de fase con enfriamiento máximo,Espuma Hyper Soft + Espuma Serene + Espuma de Memoria Gel para alivio excepcional de presión,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,Verdadera sensación suave tipo nube para quienes duermen de lado,,,,Combina confort refrescante con soporte zonificado que aísla el movimiento y múltiples capas de espuma que alivian la presión
g11,Híbrido|Enfriamiento|Soporte Lumbar,Espuma de enfriamiento multicapa con soporte lumbar zonificado,Funda de cambio de fase con enfriamiento máximo,Espuma Hyper Soft + Espuma Serene + Espuma de Memoria Gel para alivio de presión,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,Sensación media perfecta para la mayoría,,,Combina confort refrescante con soporte zonificado que aísla el movimiento y múltiples capas de espuma que alivian la presión
g12,Híbrido|Enfriamiento|Soporte Lumbar,Espuma de enfriamiento multicapa con soporte lumbar zonificado,Funda de cambio de fase con enfriamiento máximo,Espuma Hyper Soft + Espuma Serene + Espuma de Memoria Gel para alivio de presión,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,,Combina confort refrescante con soporte zonificado que aísla el movimiento y múltiples capas de espuma que alivian la presión
g13,Híbrido|Enfriamiento|Funda PCM,Funda de hielo PCM con espuma de memoria gel para un sueño refrescante,La funda de Material de Cambio de Fase enfría activamente la superficie,Espuma de Memoria Gel reduce la presión + capas de espuma de confort,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,"Sensación suave y con soporte para quienes duermen de lado",,,,Funda de hielo PCM + espuma de memoria gel + resortes encapsulados para un sueño refrescante
g14,Híbrido|Enfriamiento|Funda PCM,Funda de hielo PCM con espuma de memoria gel para un sueño refrescante,La funda de Material de Cambio de Fase enfría activamente la superficie,Espuma de Memoria Gel reduce la presión + capas de espuma de confort,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,Sensación media perfecta para la mayoría,,,Funda de hielo PCM + espuma de memoria gel + resortes encapsulados para un sueño refrescante
g15,Híbrido|Enfriamiento|Funda PCM,Funda de hielo PCM con espuma de memoria gel para un sueño refrescante,La funda de Material de Cambio de Fase enfría activamente la superficie,Espuma de Memoria Gel reduce la presión + capas de espuma de confort,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,,Funda de hielo PCM + espuma de memoria gel + resortes encapsulados para un sueño refrescante
g16,Híbrido|Enfriamiento|Soporte Zonificado,Espuma de gel fresco con resortes zonificados para alineación espinal,La lujosa funda de enfriamiento absorbe la humedad y el calor,La espuma de gel fresco se adapta al cuerpo para aliviar la presión,Los resortes encapsulados minimizan la perturbación de la pareja,Marvelous Middle brinda 25% más soporte central,,,Sensación extra firme para quienes duermen boca arriba y boca abajo,,"Espuma de gel fresco, resortes encapsulados zonificados, soporte dirigido y alineación espinal"
g17,Híbrido|Enfriamiento|Soporte Zonificado,Espuma de gel fresco con resortes zonificados para alineación espinal,La lujosa funda de enfriamiento absorbe la humedad y el calor,La espuma de gel fresco se adapta al cuerpo para aliviar la presión,Los resortes encapsulados minimizan la perturbación de la pareja,Marvelous Middle brinda 25% más soporte central,,Sensación media-suave perfecta para la mayoría,,,"Espuma de gel fresco, resortes encapsulados zonificados, soporte dirigido y alineación espinal"
g18,Híbrido|Enfriamiento,Híbrido cómodo con espuma de enfriamiento a gran valor,La lujosa funda de enfriamiento absorbe la humedad y el calor,La espuma de gel fresco se adapta al cuerpo para aliviar la presión,Los resortes encapsulados minimizan la perturbación de la pareja,Marvelous Middle brinda 25% más soporte central,,,,,"Espuma de gel fresco, resortes encapsulados zonificados, soporte dirigido y alineación espinal"
g19,Híbrido|Enfriamiento,Híbrido cómodo con espuma de enfriamiento a gran valor,La lujosa funda de enfriamiento absorbe la humedad y el calor,La espuma de gel fresco se adapta al cuerpo para aliviar la presión,Los resortes encapsulados minimizan la perturbación de la pareja,Marvelous Middle brinda 25% más soporte central,,,,,"Espuma de gel fresco, resortes encapsulados zonificados, soporte dirigido y alineación espinal"
g20,Resortes|Soporte Lumbar,Colchón de resortes con espuma fresca y soporte lumbar zonificado,Funda fresca para control de temperatura,Espuma fresca con Polygel para mayor confort y alivio de presión,,Marvelous Middle brinda 25% más soporte central,Sensación suave para quienes duermen de lado,,,,"Espuma de gel fresco, resortes, soporte dirigido y alineación espinal"
g21,Resortes|Soporte Lumbar,Colchón de resortes con espuma fresca y soporte lumbar zonificado,Funda fresca para control de temperatura,Espuma fresca con Polygel para mayor confort y alivio de presión,,Marvelous Middle brinda 25% más soporte central,,Sensación media-suave perfecta para la mayoría,,,"Espuma de gel fresco, resortes, soporte dirigido y alineación espinal"
g22,Resortes|Soporte Lumbar,Colchón de resortes con espuma fresca y soporte lumbar zonificado,,,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,Sensación media-suave perfecta para la mayoría,,,,Colchón de resortes de calidad con soporte central dirigido y alineación espinal
g24,Híbrido|Enfriamiento|Garantía de por Vida,Híbrido con infusión de carbón,La tela de hilo de enfriamiento (mezcla ICE yarn) con espuma Amstar-Aero Cool Gel de Memoria disipa el calor,"La espuma Amstar-Aero Cool Gel de Memoria y la tecnología SilkFoam se adaptan al cuerpo para aliviar la presión",Los Micro Pocket Coils y los resortes Amstar-Adaptive minimizan la transferencia de movimiento,"Resortes Amstar-Adaptive (8"" de altura) con opciones de soporte lumbar para alineación de espalda",,,Sensación cushion firme ideal para quienes duermen boca arriba y boca abajo,,Híbrido con espuma de gel infusionada con carbón con micro pocket coils y encapsulado en espuma para un sueño fresco que alivia la presión
g25,Híbrido|Enfriamiento|7 Zonas,Híbrido suave acolchado con lana y soporte ergonómico de 7 zonas,La funda de tela de enfriamiento acolchada con lana regula la temperatura toda la noche,"La espuma de confort Amstar-Flex y la espuma ergonómica de 7 zonas se enfocan en puntos de presión en cabeza, hombros, caderas y rodillas",Los resortes encapsulados en espuma (~900) se mueven independientemente para reducir la transferencia de movimiento,La espuma ergonómica de 7 zonas brinda soporte dirigido lumbar y de caderas para una alineación espinal correcta,Sensación suave tipo nube ideal para quienes duermen de lado y personas con dolor de hombros o caderas,,,,Híbrido suave acolchado con lana con soporte ergonómico de 7 zonas y ~900 resortes encapsulados en espuma
g26,Híbrido|Enfriamiento|7 Zonas,Híbrido firme acolchado con lana y soporte ergonómico de 7 zonas,La funda de tela de enfriamiento acolchada con lana regula la temperatura toda la noche,"La espuma de confort Amstar-Flex y la espuma ergonómica de 7 zonas amortiguan los puntos de presión en cabeza, hombros, caderas y rodillas",Los resortes encapsulados en espuma (~900) se mueven independientemente para reducir la transferencia de movimiento,La espuma ergonómica de 7 zonas brinda soporte lumbar y de caderas más firme para una excelente alineación espinal,,,Sensación firme estilo hotel para quienes duermen boca arriba y boca abajo que necesitan estructura sólida,,Híbrido firme acolchado con lana con soporte ergonómico de 7 zonas y ~900 resortes encapsulados en espuma
g27,Híbrido|Euro Top|Enfriamiento,Híbrido euro top medio de 15 pulgadas para confort equilibrado toda la noche,La funda Euro Top de enfriamiento ayuda a regular la temperatura del sueño,La capa euro top suave más espumas de confort responsivas alivian la presión en hombros y caderas,Los resortes encapsulados individualmente minimizan la transferencia de movimiento,El sistema de resortes encapsulados brinda soporte zonificado y estabilidad de borde a borde,,Sensación media perfecta adaptable para todas las posiciones de sueño,,,Híbrido premium de 15 pulgadas euro top con funda de enfriamiento y soporte de resortes zonificados
g28,Híbrido|Enfriamiento|Suave,Híbrido suave con enfriamiento diseñado para alivio profundo de presión,La funda de enfriamiento disipa activamente el calor de la superficie de sueño,Múltiples capas de espuma de confort con enfriamiento se adaptan profundamente a hombros y caderas,El sistema de resortes encapsulados minimiza la transferencia de movimiento para un sueño sin interrupciones,Los resortes encapsulados individualmente brindan soporte dirigido y estabilidad de borde a borde,Sensación suave profundamente acolchada para quienes duermen de lado y personas con dolor articular,,,,Híbrido suave con enfriamiento con espumas de confort premium y resortes encapsulados para un sueño profundamente acolchado y refrescante
g29,Híbrido|Enfriamiento|Firme,Híbrido firme con enfriamiento para soporte sólido estilo hotel,La funda de enfriamiento disipa activamente el calor de la superficie de sueño,Las capas de espuma de confort alivian la presión manteniendo una sensación firme,El sistema de resortes encapsulados minimiza la transferencia de movimiento,Los resortes encapsulados individualmente brindan soporte firme de borde a borde y alineación espinal,,,Sensación firme para quienes duermen boca arriba y boca abajo que necesitan soporte sólido y estructurado,,Híbrido firme con enfriamiento con espumas de confort premium y resortes encapsulados para soporte sólido y estructurado
g30,Híbrido|Euro Top|Firme,Híbrido firme euro top de 15 pulgadas para soporte estructurado toda la noche,La funda Euro Top de enfriamiento ayuda a regular la temperatura del sueño,La capa Euro Top de confort más espumas responsivas amortiguan los puntos de presión sin sacrificar firmeza,Los resortes encapsulados individualmente minimizan la transferencia de movimiento,El sistema de resortes encapsulados brinda soporte firme zonificado y estabilidad de borde a borde,,,Sensación firme euro top para quienes duermen boca arriba y boca abajo que quieren estructura con confort superficial,,Híbrido firme premium de 15 pulgadas euro top con funda de enfriamiento y soporte de resortes zonificados
g31,Híbrido|Enfriamiento|Ultra Suave,Híbrido de espuma de memoria con carbón y sensación ultra suave tipo nube,La tela de hilo de enfriamiento (mezcla ICE yarn) con espuma Amstar-Aero de Memoria con Carbón de 3 pulgadas disipa el calor,"La espuma Amstar-Aero de Memoria con Carbón (3 pulgadas, 2.5lb) y la tecnología SilkFoam se adaptan profundamente al cuerpo",El sistema de Micro Pocket Coils y los resortes Amstar-Adaptive minimizan la transferencia de movimiento,Los resortes Amstar-Adaptive con opciones de soporte lumbar mantienen la alineación espinal,Sensación ultra suave tipo nube para quienes duermen de lado y personas con dolor de hombros o caderas,,,,Garantía de 10 años certificado OEKO-TEX híbrido de espuma de memoria con carbón con micro pocket coils para un sueño ultra suave que alivia la presión
g32,Espuma de Memoria|Enfriamiento|Firme,Espuma de memoria de grado médico con funda de enfriamiento tejida para un sueño firme y fresco,La funda tejida transpirable de enfriamiento conduce el calor lejos del cuerpo para un sueño más fresco,La espuma de memoria de grado médico de 4lb se adapta lentamente para reducir puntos de presión y mantener la alineación,La construcción totalmente de espuma absorbe y aísla el movimiento para un sueño sin interrupciones,La capa de transición Amstar-Flex añade soporte resistente y estabilidad en toda la superficie,,,Sensación firme de espuma de memoria para quienes duermen boca arriba y boca abajo que necesitan estructura sólida,,Colchón firme totalmente de espuma con funda tejida de enfriamiento y espuma de memoria de grado médico para un sueño fresco y estructurado
